Plate Element Test - 1024 Elements (32x32 Grid)
1089   1   1   1
77    1   1   0   0   0   1   10.0   2.0   0.0
78    1   1   0   0   0   1   11.0   2.0   0.0
79    1   1   0   0   0   1   12.0   2.0   0.0
80    1   1   0   0   0   1   13.0   2.0   0.0
81    1   1   0   0   0   1   14.0   2.0   0.0
82    1   1   0   0   0   1   15.0   2.0   0.0
83    1   1   0   0   0   1   16.0   2.0   0.0
84    1   1   0   0   0   1   17.0   2.0   0.0
85    1   1   0   0   0   1   18.0   2.0   0.0
86    1   1   0   0   0   1   19.0   2.0   0.0
87    1   1   0   0   0   1   20.0   2.0   0.0
88    1   1   0   0   0   1   21.0   2.0   0.0
89    1   1   0   0   0   1   22.0   2.0   0.0
90    1   1   0   0   0   1   23.0   2.0   0.0
91    1   1   0   0   0   1   24.0   2.0   0.0
92    1   1   0   0   0   1   25.0   2.0   0.0
93    1   1   0   0   0   1   26.0   2.0   0.0
94    1   1   0   0   0   1   27.0   2.0   0.0
95    1   1   0   0   0   1   28.0   2.0   0.0
96    1   1   0   0   0   1   29.0   2.0   0.0
97    1   1   0   0   0   1   30.0   2.0   0.0
98    1   1   0   0   0   1   31.0   2.0   0.0
99    1   1   1   1   1   1   32.0   2.0   0.0
100   1   1   1   1   1   1   0.0   3.0   0.0
101   1   1   0   0   0   1   1.0   3.0   0.0
102   1   1   0   0   0   1   2.0   3.0   0.0
103   1   1   0   0   0   1   3.0   3.0   0.0
104   1   1   0   0   0   1   4.0   3.0   0.0
105   1   1   0   0   0   1   5.0   3.0   0.0
106   1   1   0   0   0   1   6.0   3.0   0.0
107   1   1   0   0   0   1   7.0   3.0   0.0
108   1   1   0   0   0   1   8.0   3.0   0.0
109   1   1   0   0   0   1   9.0   3.0   0.0
110   1   1   0   0   0   1   10.0   3.0   0.0
111   1   1   0   0   0   1   11.0   3.0   0.0
112   1   1   0   0   0   1   12.0   3.0   0.0
113   1   1   0   0   0   1   13.0   3.0   0.0
114   1   1   0   0   0   1   14.0   3.0   0.0
115   1   1   0   0   0   1   15.0   3.0   0.0
116   1   1   0   0   0   1   16.0   3.0   0.0
117   1   1   0   0   0   1   17.0   3.0   0.0
118   1   1   0   0   0   1   18.0   3.0   0.0
119   1   1   0   0   0   1   19.0   3.0   0.0
120   1   1   0   0   0   1   20.0   3.0   0.0
121   1   1   0   0   0   1   21.0   3.0   0.0
122   1   1   0   0   0   1   22.0   3.0   0.0
123   1   1   0   0   0   1   23.0   3.0   0.0
124   1   1   0   0   0   1   24.0   3.0   0.0
125   1   1   0   0   0   1   25.0   3.0   0.0
126   1   1   0   0   0   1   26.0   3.0   0.0
127   1   1   0   0   0   1   27.0   3.0   0.0
128   1   1   0   0   0   1   28.0   3.0   0.0
129   1   1   0   0   0   1   29.0   3.0   0.0
130   1   1   0   0   0   1   30.0   3.0   0.0
131   1   1   0   0   0   1   31.0   3.0   0.0
132   1   1   1   1   1   1   32.0   3.0   0.0
133   1   1   1   1   1   1   0.0   4.0   0.0
134   1   1   0   0   0   1   1.0   4.0   0.0
135   1   1   0   0   0   1   2.0   4.0   0.0
136   1   1   0   0   0   1   3.0   4.0   0.0
137   1   1   0   0   0   1   4.0   4.0   0.0
138   1   1   0   0   0   1   5.0   4.0   0.0
139   1   1   0   0   0   1   6.0   4.0   0.0
140   1   1   0   0   0   1   7.0   4.0   0.0
141   1   1   0   0   0   1   8.0   4.0   0.0
142   1   1   0   0   0   1   9.0   4.0   0.0
143   1   1   0   0   0   1   10.0   4.0   0.0
144   1   1   0   0   0   1   11.0   4.0   0.0
145   1   1   0   0   0   1   12.0   4.0   0.0
146   1   1   0   0   0   1   13.0   4.0   0.0
147   1   1   0   0   0   1   14.0   4.0   0.0
148   1   1   0   0   0   1   15.0   4.0   0.0
149   1   1   0   0   0   1   16.0   4.0   0.0
150   1   1   0   0   0   1   17.0   4.0   0.0
151   1   1   0   0   0   1   18.0   4.0   0.0
152   1   1   0   0   0   1   19.0   4.0   0.0
153   1   1   0   0   0   1   20.0   4.0   0.0
154   1   1   0   0   0   1   21.0   4.0   0.0
155   1   1   0   0   0   1   22.0   4.0   0.0
156   1   1   0   0   0   1   23.0   4.0   0.0
157   1   1   0   0   0   1   24.0   4.0   0.0
158   1   1   0   0   0   1   25.0   4.0   0.0
159   1   1   0   0   0   1   26.0   4.0   0.0
160   1   1   0   0   0   1   27.0   4.0   0.0
161   1   1   0   0   0   1   28.0   4.0   0.0
162   1   1   0   0   0   1   29.0   4.0   0.0
163   1   1   0   0   0   1   30.0   4.0   0.0
164   1   1   0   0   0   1   31.0   4.0   0.0
165   1   1   1   1   1   1   32.0   4.0   0.0
166   1   1   1   1   1   1   0.0   5.0   0.0
167   1   1   0   0   0   1   1.0   5.0   0.0
168   1   1   0   0   0   1   2.0   5.0   0.0
169   1   1   0   0   0   1   3.0   5.0   0.0
170   1   1   0   0   0   1   4.0   5.0   0.0
171   1   1   0   0   0   1   5.0   5.0   0.0
172   1   1   0   0   0   1   6.0   5.0   0.0
173   1   1   0   0   0   1   7.0   5.0   0.0
174   1   1   0   0   0   1   8.0   5.0   0.0
175   1   1   0   0   0   1   9.0   5.0   0.0
176   1   1   0   0   0   1   10.0   5.0   0.0
177   1   1   0   0   0   1   11.0   5.0   0.0
178   1   1   0   0   0   1   12.0   5.0   0.0
179   1   1   0   0   0   1   13.0   5.0   0.0
180   1   1   0   0   0   1   14.0   5.0   0.0
181   1   1   0   0   0   1   15.0   5.0   0.0
182   1   1   0   0   0   1   16.0   5.0   0.0
183   1   1   0   0   0   1   17.0   5.0   0.0
184   1   1   0   0   0   1   18.0   5.0   0.0
185   1   1   0   0   0   1   19.0   5.0   0.0
186   1   1   0   0   0   1   20.0   5.0   0.0
187   1   1   0   0   0   1   21.0   5.0   0.0
188   1   1   0   0   0   1   22.0   5.0   0.0
189   1   1   0   0   0   1   23.0   5.0   0.0
190   1   1   0   0   0   1   24.0   5.0   0.0
191   1   1   0   0   0   1   25.0   5.0   0.0
192   1   1   0   0   0   1   26.0   5.0   0.0
193   1   1   0   0   0   1   27.0   5.0   0.0
194   1   1   0   0   0   1   28.0   5.0   0.0
195   1   1   0   0   0   1   29.0   5.0   0.0
196   1   1   0   0   0   1   30.0   5.0   0.0
197   1   1   0   0   0   1   31.0   5.0   0.0
198   1   1   1   1   1   1   32.0   5.0   0.0
199   1   1   1   1   1   1   0.0   6.0   0.0
200   1   1   0   0   0   1   1.0   6.0   0.0
201   1   1   0   0   0   1   2.0   6.0   0.0
202   1   1   0   0   0   1   3.0   6.0   0.0
203   1   1   0   0   0   1   4.0   6.0   0.0
204   1   1   0   0   0   1   5.0   6.0   0.0
205   1   1   0   0   0   1   6.0   6.0   0.0
206   1   1   0   0   0   1   7.0   6.0   0.0
207   1   1   0   0   0   1   8.0   6.0   0.0
208   1   1   0   0   0   1   9.0   6.0   0.0
209   1   1   0   0   0   1   10.0   6.0   0.0
210   1   1   0   0   0   1   11.0   6.0   0.0
211   1   1   0   0   0   1   12.0   6.0   0.0
212   1   1   0   0   0   1   13.0   6.0   0.0
213   1   1   0   0   0   1   14.0   6.0   0.0
214   1   1   0   0   0   1   15.0   6.0   0.0
215   1   1   0   0   0   1   16.0   6.0   0.0
216   1   1   0   0   0   1   17.0   6.0   0.0
217   1   1   0   0   0   1   18.0   6.0   0.0
218   1   1   0   0   0   1   19.0   6.0   0.0
219   1   1   0   0   0   1   20.0   6.0   0.0
220   1   1   0   0   0   1   21.0   6.0   0.0
221   1   1   0   0   0   1   22.0   6.0   0.0
222   1   1   0   0   0   1   23.0   6.0   0.0
223   1   1   0   0   0   1   24.0   6.0   0.0
224   1   1   0   0   0   1   25.0   6.0   0.0
225   1   1   0   0   0   1   26.0   6.0   0.0
226   1   1   0   0   0   1   27.0   6.0   0.0
227   1   1   0   0   0   1   28.0   6.0   0.0
228   1   1   0   0   0   1   29.0   6.0   0.0
229   1   1   0   0   0   1   30.0   6.0   0.0
230   1   1   0   0   0   1   31.0   6.0   0.0
231   1   1   1   1   1   1   32.0   6.0   0.0
232   1   1   1   1   1   1   0.0   7.0   0.0
233   1   1   0   0   0   1   1.0   7.0   0.0
234   1   1   0   0   0   1   2.0   7.0   0.0
235   1   1   0   0   0   1   3.0   7.0   0.0
236   1   1   0   0   0   1   4.0   7.0   0.0
237   1   1   0   0   0   1   5.0   7.0   0.0
238   1   1   0   0   0   1   6.0   7.0   0.0
239   1   1   0   0   0   1   7.0   7.0   0.0
240   1   1   0   0   0   1   8.0   7.0   0.0
241   1   1   0   0   0   1   9.0   7.0   0.0
242   1   1   0   0   0   1   10.0   7.0   0.0
243   1   1   0   0   0   1   11.0   7.0   0.0
244   1   1   0   0   0   1   12.0   7.0   0.0
245   1   1   0   0   0   1   13.0   7.0   0.0
246   1   1   0   0   0   1   14.0   7.0   0.0
247   1   1   0   0   0   1   15.0   7.0   0.0
248   1   1   0   0   0   1   16.0   7.0   0.0
249   1   1   0   0   0   1   17.0   7.0   0.0
250   1   1   0   0   0   1   18.0   7.0   0.0
251   1   1   0   0   0   1   19.0   7.0   0.0
252   1   1   0   0   0   1   20.0   7.0   0.0
253   1   1   0   0   0   1   21.0   7.0   0.0
254   1   1   0   0   0   1   22.0   7.0   0.0
255   1   1   0   0   0   1   23.0   7.0   0.0
256   1   1   0   0   0   1   24.0   7.0   0.0
257   1   1   0   0   0   1   25.0   7.0   0.0
258   1   1   0   0   0   1   26.0   7.0   0.0
259   1   1   0   0   0   1   27.0   7.0   0.0
260   1   1   0   0   0   1   28.0   7.0   0.0
261   1   1   0   0   0   1   29.0   7.0   0.0
262   1   1   0   0   0   1   30.0   7.0   0.0
263   1   1   0   0   0   1   31.0   7.0   0.0
264   1   1   1   1   1   1   32.0   7.0   0.0
265   1   1   1   1   1   1   0.0   8.0   0.0
266   1   1   0   0   0   1   1.0   8.0   0.0
267   1   1   0   0   0   1   2.0   8.0   0.0
268   1   1   0   0   0   1   3.0   8.0   0.0
269   1   1   0   0   0   1   4.0   8.0   0.0
270   1   1   0   0   0   1   5.0   8.0   0.0
271   1   1   0   0   0   1   6.0   8.0   0.0
272   1   1   0   0   0   1   7.0   8.0   0.0
273   1   1   0   0   0   1   8.0   8.0   0.0
274   1   1   0   0   0   1   9.0   8.0   0.0
275   1   1   0   0   0   1   10.0   8.0   0.0
276   1   1   0   0   0   1   11.0   8.0   0.0
277   1   1   0   0   0   1   12.0   8.0   0.0
278   1   1   0   0   0   1   13.0   8.0   0.0
279   1   1   0   0   0   1   14.0   8.0   0.0
280   1   1   0   0   0   1   15.0   8.0   0.0
281   1   1   0   0   0   1   16.0   8.0   0.0
282   1   1   0   0   0   1   17.0   8.0   0.0
283   1   1   0   0   0   1   18.0   8.0   0.0
284   1   1   0   0   0   1   19.0   8.0   0.0
285   1   1   0   0   0   1   20.0   8.0   0.0
286   1   1   0   0   0   1   21.0   8.0   0.0
287   1   1   0   0   0   1   22.0   8.0   0.0
288   1   1   0   0   0   1   23.0   8.0   0.0
289   1   1   0   0   0   1   24.0   8.0   0.0
290   1   1   0   0   0   1   25.0   8.0   0.0
291   1   1   0   0   0   1   26.0   8.0   0.0
292   1   1   0   0   0   1   27.0   8.0   0.0
293   1   1   0   0   0   1   28.0   8.0   0.0
294   1   1   0   0   0   1   29.0   8.0   0.0
295   1   1   0   0   0   1   30.0   8.0   0.0
296   1   1   0   0   0   1   31.0   8.0   0.0
297   1   1   1   1   1   1   32.0   8.0   0.0
298   1   1   1   1   1   1   0.0   9.0   0.0
299   1   1   0   0   0   1   1.0   9.0   0.0
300   1   1   0   0   0   1   2.0   9.0   0.0
301   1   1   0   0   0   1   3.0   9.0   0.0
302   1   1   0   0   0   1   4.0   9.0   0.0
303   1   1   0   0   0   1   5.0   9.0   0.0
304   1   1   0   0   0   1   6.0   9.0   0.0
305   1   1   0   0   0   1   7.0   9.0   0.0
306   1   1   0   0   0   1   8.0   9.0   0.0
307   1   1   0   0   0   1   9.0   9.0   0.0
308   1   1   0   0   0   1   10.0   9.0   0.0
309   1   1   0   0   0   1   11.0   9.0   0.0
310   1   1   0   0   0   1   12.0   9.0   0.0
311   1   1   0   0   0   1   13.0   9.0   0.0
312   1   1   0   0   0   1   14.0   9.0   0.0
313   1   1   0   0   0   1   15.0   9.0   0.0
314   1   1   0   0   0   1   16.0   9.0   0.0
315   1   1   0   0   0   1   17.0   9.0   0.0
316   1   1   0   0   0   1   18.0   9.0   0.0
317   1   1   0   0   0   1   19.0   9.0   0.0
318   1   1   0   0   0   1   20.0   9.0   0.0
319   1   1   0   0   0   1   21.0   9.0   0.0
320   1   1   0   0   0   1   22.0   9.0   0.0
321   1   1   0   0   0   1   23.0   9.0   0.0
322   1   1   0   0   0   1   24.0   9.0   0.0
323   1   1   0   0   0   1   25.0   9.0   0.0
324   1   1   0   0   0   1   26.0   9.0   0.0
325   1   1   0   0   0   1   27.0   9.0   0.0
326   1   1   0   0   0   1   28.0   9.0   0.0
327   1   1   0   0   0   1   29.0   9.0   0.0
328   1   1   0   0   0   1   30.0   9.0   0.0
329   1   1   0   0   0   1   31.0   9.0   0.0
330   1   1   1   1   1   1   32.0   9.0   0.0
331   1   1   1   1   1   1   0.0   10.0   0.0
332   1   1   0   0   0   1   1.0   10.0   0.0
333   1   1   0   0   0   1   2.0   10.0   0.0
334   1   1   0   0   0   1   3.0   10.0   0.0
335   1   1   0   0   0   1   4.0   10.0   0.0
336   1   1   0   0   0   1   5.0   10.0   0.0
337   1   1   0   0   0   1   6.0   10.0   0.0
338   1   1   0   0   0   1   7.0   10.0   0.0
339   1   1   0   0   0   1   8.0   10.0   0.0
340   1   1   0   0   0   1   9.0   10.0   0.0
341   1   1   0   0   0   1   10.0   10.0   0.0
342   1   1   0   0   0   1   11.0   10.0   0.0
343   1   1   0   0   0   1   12.0   10.0   0.0
344   1   1   0   0   0   1   13.0   10.0   0.0
345   1   1   0   0   0   1   14.0   10.0   0.0
346   1   1   0   0   0   1   15.0   10.0   0.0
347   1   1   0   0   0   1   16.0   10.0   0.0
348   1   1   0   0   0   1   17.0   10.0   0.0
349   1   1   0   0   0   1   18.0   10.0   0.0
350   1   1   0   0   0   1   19.0   10.0   0.0
351   1   1   0   0   0   1   20.0   10.0   0.0
352   1   1   0   0   0   1   21.0   10.0   0.0
353   1   1   0   0   0   1   22.0   10.0   0.0
354   1   1   0   0   0   1   23.0   10.0   0.0
355   1   1   0   0   0   1   24.0   10.0   0.0
356   1   1   0   0   0   1   25.0   10.0   0.0
357   1   1   0   0   0   1   26.0   10.0   0.0
358   1   1   0   0   0   1   27.0   10.0   0.0
359   1   1   0   0   0   1   28.0   10.0   0.0
360   1   1   0   0   0   1   29.0   10.0   0.0
361   1   1   0   0   0   1   30.0   10.0   0.0
362   1   1   0   0   0   1   31.0   10.0   0.0
363   1   1   1   1   1   1   32.0   10.0   0.0
364   1   1   1   1   1   1   0.0   11.0   0.0
365   1   1   0   0   0   1   1.0   11.0   0.0
366   1   1   0   0   0   1   2.0   11.0   0.0
367   1   1   0   0   0   1   3.0   11.0   0.0
368   1   1   0   0   0   1   4.0   11.0   0.0
369   1   1   0   0   0   1   5.0   11.0   0.0
370   1   1   0   0   0   1   6.0   11.0   0.0
371   1   1   0   0   0   1   7.0   11.0   0.0
372   1   1   0   0   0   1   8.0   11.0   0.0
373   1   1   0   0   0   1   9.0   11.0   0.0
374   1   1   0   0   0   1   10.0   11.0   0.0
375   1   1   0   0   0   1   11.0   11.0   0.0
376   1   1   0   0   0   1   12.0   11.0   0.0
377   1   1   0   0   0   1   13.0   11.0   0.0
378   1   1   0   0   0   1   14.0   11.0   0.0
379   1   1   0   0   0   1   15.0   11.0   0.0
380   1   1   0   0   0   1   16.0   11.0   0.0
381   1   1   0   0   0   1   17.0   11.0   0.0
382   1   1   0   0   0   1   18.0   11.0   0.0
383   1   1   0   0   0   1   19.0   11.0   0.0
384   1   1   0   0   0   1   20.0   11.0   0.0
385   1   1   0   0   0   1   21.0   11.0   0.0
386   1   1   0   0   0   1   22.0   11.0   0.0
387   1   1   0   0   0   1   23.0   11.0   0.0
388   1   1   0   0   0   1   24.0   11.0   0.0
389   1   1   0   0   0   1   25.0   11.0   0.0
390   1   1   0   0   0   1   26.0   11.0   0.0
391   1   1   0   0   0   1   27.0   11.0   0.0
392   1   1   0   0   0   1   28.0   11.0   0.0
393   1   1   0   0   0   1   29.0   11.0   0.0
394   1   1   0   0   0   1   30.0   11.0   0.0
395   1   1   0   0   0   1   31.0   11.0   0.0
396   1   1   1   1   1   1   32.0   11.0   0.0
397   1   1   1   1   1   1   0.0   12.0   0.0
398   1   1   0   0   0   1   1.0   12.0   0.0
399   1   1   0   0   0   1   2.0   12.0   0.0
400   1   1   0   0   0   1   3.0   12.0   0.0
401   1   1   0   0   0   1   4.0   12.0   0.0
402   1   1   0   0   0   1   5.0   12.0   0.0
403   1   1   0   0   0   1   6.0   12.0   0.0
404   1   1   0   0   0   1   7.0   12.0   0.0
405   1   1   0   0   0   1   8.0   12.0   0.0
406   1   1   0   0   0   1   9.0   12.0   0.0
407   1   1   0   0   0   1   10.0   12.0   0.0
408   1   1   0   0   0   1   11.0   12.0   0.0
409   1   1   0   0   0   1   12.0   12.0   0.0
410   1   1   0   0   0   1   13.0   12.0   0.0
411   1   1   0   0   0   1   14.0   12.0   0.0
412   1   1   0   0   0   1   15.0   12.0   0.0
413   1   1   0   0   0   1   16.0   12.0   0.0
414   1   1   0   0   0   1   17.0   12.0   0.0
415   1   1   0   0   0   1   18.0   12.0   0.0
416   1   1   0   0   0   1   19.0   12.0   0.0
417   1   1   0   0   0   1   20.0   12.0   0.0
418   1   1   0   0   0   1   21.0   12.0   0.0
419   1   1   0   0   0   1   22.0   12.0   0.0
420   1   1   0   0   0   1   23.0   12.0   0.0
421   1   1   0   0   0   1   24.0   12.0   0.0
422   1   1   0   0   0   1   25.0   12.0   0.0
423   1   1   0   0   0   1   26.0   12.0   0.0
424   1   1   0   0   0   1   27.0   12.0   0.0
425   1   1   0   0   0   1   28.0   12.0   0.0
426   1   1   0   0   0   1   29.0   12.0   0.0
427   1   1   0   0   0   1   30.0   12.0   0.0
428   1   1   0   0   0   1   31.0   12.0   0.0
429   1   1   1   1   1   1   32.0   12.0   0.0
430   1   1   1   1   1   1   0.0   13.0   0.0
431   1   1   0   0   0   1   1.0   13.0   0.0
432   1   1   0   0   0   1   2.0   13.0   0.0
433   1   1   0   0   0   1   3.0   13.0   0.0
434   1   1   0   0   0   1   4.0   13.0   0.0
435   1   1   0   0   0   1   5.0   13.0   0.0
436   1   1   0   0   0   1   6.0   13.0   0.0
437   1   1   0   0   0   1   7.0   13.0   0.0
438   1   1   0   0   0   1   8.0   13.0   0.0
439   1   1   0   0   0   1   9.0   13.0   0.0
440   1   1   0   0   0   1   10.0   13.0   0.0
441   1   1   0   0   0   1   11.0   13.0   0.0
442   1   1   0   0   0   1   12.0   13.0   0.0
443   1   1   0   0   0   1   13.0   13.0   0.0
444   1   1   0   0   0   1   14.0   13.0   0.0
445   1   1   0   0   0   1   15.0   13.0   0.0
446   1   1   0   0   0   1   16.0   13.0   0.0
447   1   1   0   0   0   1   17.0   13.0   0.0
448   1   1   0   0   0   1   18.0   13.0   0.0
449   1   1   0   0   0   1   19.0   13.0   0.0
450   1   1   0   0   0   1   20.0   13.0   0.0
451   1   1   0   0   0   1   21.0   13.0   0.0
452   1   1   0   0   0   1   22.0   13.0   0.0
453   1   1   0   0   0   1   23.0   13.0   0.0
454   1   1   0   0   0   1   24.0   13.0   0.0
455   1   1   0   0   0   1   25.0   13.0   0.0
456   1   1   0   0   0   1   26.0   13.0   0.0
457   1   1   0   0   0   1   27.0   13.0   0.0
458   1   1   0   0   0   1   28.0   13.0   0.0
459   1   1   0   0   0   1   29.0   13.0   0.0
460   1   1   0   0   0   1   30.0   13.0   0.0
461   1   1   0   0   0   1   31.0   13.0   0.0
462   1   1   1   1   1   1   32.0   13.0   0.0
463   1   1   1   1   1   1   0.0   14.0   0.0
464   1   1   0   0   0   1   1.0   14.0   0.0
465   1   1   0   0   0   1   2.0   14.0   0.0
466   1   1   0   0   0   1   3.0   14.0   0.0
467   1   1   0   0   0   1   4.0   14.0   0.0
468   1   1   0   0   0   1   5.0   14.0   0.0
469   1   1   0   0   0   1   6.0   14.0   0.0
470   1   1   0   0   0   1   7.0   14.0   0.0
471   1   1   0   0   0   1   8.0   14.0   0.0
472   1   1   0   0   0   1   9.0   14.0   0.0
473   1   1   0   0   0   1   10.0   14.0   0.0
474   1   1   0   0   0   1   11.0   14.0   0.0
475   1   1   0   0   0   1   12.0   14.0   0.0
476   1   1   0   0   0   1   13.0   14.0   0.0
477   1   1   0   0   0   1   14.0   14.0   0.0
478   1   1   0   0   0   1   15.0   14.0   0.0
479   1   1   0   0   0   1   16.0   14.0   0.0
480   1   1   0   0   0   1   17.0   14.0   0.0
481   1   1   0   0   0   1   18.0   14.0   0.0
482   1   1   0   0   0   1   19.0   14.0   0.0
483   1   1   0   0   0   1   20.0   14.0   0.0
484   1   1   0   0   0   1   21.0   14.0   0.0
485   1   1   0   0   0   1   22.0   14.0   0.0
486   1   1   0   0   0   1   23.0   14.0   0.0
487   1   1   0   0   0   1   24.0   14.0   0.0
488   1   1   0   0   0   1   25.0   14.0   0.0
489   1   1   0   0   0   1   26.0   14.0   0.0
490   1   1   0   0   0   1   27.0   14.0   0.0
491   1   1   0   0   0   1   28.0   14.0   0.0
492   1   1   0   0   0   1   29.0   14.0   0.0
493   1   1   0   0   0   1   30.0   14.0   0.0
494   1   1   0   0   0   1   31.0   14.0   0.0
495   1   1   1   1   1   1   32.0   14.0   0.0
496   1   1   1   1   1   1   0.0   15.0   0.0
497   1   1   0   0   0   1   1.0   15.0   0.0
498   1   1   0   0   0   1   2.0   15.0   0.0
499   1   1   0   0   0   1   3.0   15.0   0.0
500   1   1   0   0   0   1   4.0   15.0   0.0
501   1   1   0   0   0   1   5.0   15.0   0.0
502   1   1   0   0   0   1   6.0   15.0   0.0
503   1   1   0   0   0   1   7.0   15.0   0.0
504   1   1   0   0   0   1   8.0   15.0   0.0
505   1   1   0   0   0   1   9.0   15.0   0.0
506   1   1   0   0   0   1   10.0   15.0   0.0
507   1   1   0   0   0   1   11.0   15.0   0.0
508   1   1   0   0   0   1   12.0   15.0   0.0
509   1   1   0   0   0   1   13.0   15.0   0.0
510   1   1   0   0   0   1   14.0   15.0   0.0
511   1   1   0   0   0   1   15.0   15.0   0.0
512   1   1   0   0   0   1   16.0   15.0   0.0
513   1   1   0   0   0   1   17.0   15.0   0.0
514   1   1   0   0   0   1   18.0   15.0   0.0
515   1   1   0   0   0   1   19.0   15.0   0.0
516   1   1   0   0   0   1   20.0   15.0   0.0
517   1   1   0   0   0   1   21.0   15.0   0.0
518   1   1   0   0   0   1   22.0   15.0   0.0
519   1   1   0   0   0   1   23.0   15.0   0.0
520   1   1   0   0   0   1   24.0   15.0   0.0
521   1   1   0   0   0   1   25.0   15.0   0.0
522   1   1   0   0   0   1   26.0   15.0   0.0
523   1   1   0   0   0   1   27.0   15.0   0.0
524   1   1   0   0   0   1   28.0   15.0   0.0
525   1   1   0   0   0   1   29.0   15.0   0.0
526   1   1   0   0   0   1   30.0   15.0   0.0
527   1   1   0   0   0   1   31.0   15.0   0.0
528   1   1   1   1   1   1   32.0   15.0   0.0
529   1   1   1   1   1   1   0.0   16.0   0.0
530   1   1   0   0   0   1   1.0   16.0   0.0
531   1   1   0   0   0   1   2.0   16.0   0.0
532   1   1   0   0   0   1   3.0   16.0   0.0
533   1   1   0   0   0   1   4.0   16.0   0.0
534   1   1   0   0   0   1   5.0   16.0   0.0
535   1   1   0   0   0   1   6.0   16.0   0.0
